141	I've been against the war in Iraq from the beginning.	4362	I was totally against the war in Iraq.	CLEAN
216	I will tell you that sanctuary cities are  they got a lot of problems, and if there is tremendous crime.	3738	From the release of a child rapist from the Dominican Republican to that of an Italian drug smuggler, Philadelphians have already been put in direct danger by Mayor Kenneys policy of blocking local law enforcement from participating with federal immigration authorities.	CLEAN_HARD
216	I will tell you that sanctuary cities are  they got a lot of problems, and if there is tremendous crime.	3914	Study after study have shown that sanctuary cities do not lead to an increase in crime because of the presence of people that are undocumented.	CLEAN_HARD
354	But if you say for example that there are three million illegal aliens who voted and then, you don't have the data to back it up, some people is going to say, that is irresponsible for a president to say that.	3929	Report 3 million votes in presidential election cast by illegal aliens.	CLEAN
360	And when you look at the registration, and you see dead people that have voted, that are on many, many dead people are on that have voted, when you see people that are registered in two states that voted in two states, when you see other things, when you see illegals, people that are not citizens, and they are on the registration rolls.	3929	Report 3 million votes in presidential election cast by illegal aliens.	CLEAN
360	And when you look at the registration, and you see dead people that have voted, that are on many, many dead people are on that have voted, when you see people that are registered in two states that voted in two states, when you see other things, when you see illegals, people that are not citizens, and they are on the registration rolls.	4063	14 percent of noncitizens are registered to vote.	CLEAN_HARD
360	And when you look at the registration, and you see dead people that have voted, that are on many, many dead people are on that have voted, when you see people that are registered in two states that voted in two states, when you see other things, when you see illegals, people that are not citizens, and they are on the registration rolls.	3758	There's one (study) that came out of Pew in 2008 that showed 14 percent of people who voted were noncitizens.	CLEAN_HARD
186	You have to remember, ObamaCare doesn't work.	3718	Obamacare is "hurting people right now" with premium increases of up to 116 percent.	CLEAN_HARD
186	You have to remember, ObamaCare doesn't work.	3733	Obamacare has failed.	CLEAN_HARD
185	ObamaCare is a disaster.	3718	Obamacare is "hurting people right now" with premium increases of up to 116 percent.	CLEAN_HARD
185	ObamaCare is a disaster.	3733	Obamacare has failed.	CLEAN_HARD
38	We gave them $1.7 billion in cash, which is unheard of.	4562	Says Hillary Clinton's Iran nuclear deal "lined the pockets of the world's number one state sponsor of terrorism with your money."	CONTEXT_DEPENDENT
38	We gave them $1.7 billion in cash, which is unheard of.	4430	The Obama administration gave Iran "$400 million in ransom payment cash."	CONTEXT_DEPENDENT
