202	Obamacare premiums nationwide have increased by double and triple digits.	3620	Obamacare premiums nationwide have increased by double and triple digits.	CLEAN
320	I am sending Congress a budget that rebuilds the military, eliminates the defense sequester...	3618	Says his budget "calls for one of the largest increases in national defense spending in American history."	CLEAN
322	... and calls for one of the largest increases in national defense spending in American history.	3618	Says his budget "calls for one of the largest increases in national defense spending in American history."	CLEAN
86	As we speak tonight, we are removing gang members, drug dealers and criminals that threaten our communities and prey on our very innocent citizens.	3654	Recent immigration raids "are not business as usual. The raids are being done indiscriminately. Theyre not focused simply on criminal aliens."	CONTEXT_DEPENDENT
88	Bad ones are going out as I speak, and as I promised throughout the campaign.	3654	Recent immigration raids "are not business as usual. The raids are being done indiscriminately. Theyre not focused simply on criminal aliens."	CONTEXT_DEPENDENT
47	We've saved taxpayers hundreds of millions of dollars by bringing down the price of fantastic  and it is a fantastic  new F35 jet fighter, and we'll be saving billions more on contracts all across our government.	3703	I have already saved more than $700 million when I got involved in the negotiation on the F35.	CLEAN_HARD
77	By finally enforcing our immigration laws, we will raise wages,	4391	Illegal immigration costs our country more than $113 billion a year.	CONTEXT_DEPENDENT
79	help the unemployed, save billions and billions of dollars, and make our communities safer for everyone.	4391	Illegal immigration costs our country more than $113 billion a year.	CONTEXT_DEPENDENT
187	America has spent approximately $6 trillion in the Middle East, all the while our infrastructure at home is crumbling.	4042	Weve spent $6 trillion on the wars in the Middle East.	CLEAN
137	Right now, American companies are taxed at one of the highest rates anywhere in the world.	4628	America is one of the highesttaxed nations in the world.	CLEAN
206	Matt Bevin of Kentucky just said Obamacare is failing in his state, the state of Kentucky, and it's unsustainable and collapsing.	3783	Obamacare "is in what the actuaries call a death spiral."	CLEAN_HARD
213	Obamacare is collapsing	3783	Obamacare "is in what the actuaries call a death spiral."	CLEAN_HARD
349	It is American leadership based on vital security interests that we share with our allies all across the globe. We strongly support NATO, an alliance forged through the bonds of two world wars, that dethroned fascism...	7721	All 28 members of NATO have "pledged to spend at least 2 percent of their economy on defense. But only three countries do  Britain, Greece and us."	PART_OF
351	... and a Cold War and defeated communism.	7721	All 28 members of NATO have "pledged to spend at least 2 percent of their economy on defense. But only three countries do  Britain, Greece and us."	PART_OF
353	But our partners must meet their financial obligations.	7721	All 28 members of NATO have "pledged to spend at least 2 percent of their economy on defense. But only three countries do  Britain, Greece and us."	PART_OF
